"Key","Event-Id","Investigation_Type","Event_Date","Country","Airport_Code","Injury_Severity","Aircraft_Damage","airport_id","airport","city","state","lat","long"
14,"20181130X80724","Accident","2018-11-30","United States","FAR","Non-Fatal","Substantial","FAR","Hector International","Fargo","ND","46.91934889","-96.81498889"
30,"20181126X35126","Accident","2018-11-26","United States","SAF","Fatal(1)","Destroyed","SAF","Santa Fe Municipal","Santa Fe","NM","35.61677778","-106.08813889999999"
45,"20181119X70304","Accident","2018-11-19","United States","CPR","Non-Fatal","Substantial","CPR","Natrona County Intl","Casper","WY","42.90835556","-106.46446609999998"
58,"20181117X93912","Accident","2018-11-16","United States","CLT","Non-Fatal","Substantial","CLT","Charlotte/Douglas International","Charlotte","NC","35.21401111","-80.94312583"
61,"20181115X30855","Accident","2018-11-15","United States","RDD","Fatal(2)","Substantial","RDD","Redding Municipal","Redding","CA","40.50898361","-122.2934019"
68,"20181112X51649","Accident","2018-11-12","United States","MYR","Non-Fatal","Substantial","MYR","Myrtle Beach International","Myrtle Beach","SC","33.67975","-78.92833333"
195,"20181006X04304","Accident","2018-10-06","United States","MFR","Non-Fatal","Substantial","MFR","Rogue Valley International","Medford","OR","42.37422778","-122.8734978"
200,"20181009X94044","Accident","2018-10-05","United States","SAT","Non-Fatal","Substantial","SAT","San Antonio International","San Antonio","TX","29.53369444","-98.46977778"
269,"20180919X12853","Accident","2018-09-19","United States","TRI","Non-Fatal","Substantial","TRI","Tri-Cities Regional","Bristol","TN","36.47521417","-82.40742056"
290,"20180914X11146","Accident","2018-09-14","United States","SBP","Non-Fatal","Substantial","SBP","San Luis Obispo Co-McChesney ","San Luis Obispo","CA","35.23705806","-120.64239309999999"
305,"20180922X71035","Accident","2018-09-10","United States","PHX","Non-Fatal",NULL,"PHX","Phoenix Sky Harbor International","Phoenix","AZ","33.43416667","-112.00805559999999"
328,"20180905X41253","Accident","2018-09-05","United States","RIC","Non-Fatal","Substantial","RIC","Richmond International","Richmond","VA","37.50516667","-77.31966667"
336,"20180904X12250","Accident","2018-09-03","United States","SNA","Non-Fatal","Substantial","SNA","John Wayne /Orange Co","Santa Ana","CA","33.67565861","-117.86822250000002"
340,"20180903X10522","Accident","2018-09-03","United States","BUR","Non-Fatal","Substantial","BUR","Burbank-Glendale-Pasadena","Burbank","CA","34.20061917","-118.3584969"
422,"20180822X74921","Accident","2018-08-22","United States","SHV","Non-Fatal","Substantial","SHV","Shreveport Regional","Shreveport","LA","32.446627500000005","-93.82559833"
431,"20180911X95341","Accident","2018-08-20","United States","BTV","Non-Fatal","Substantial","BTV","Burlington International","Burlington","VT","44.47300361","-73.1503125"
474,"20180905X90334","Accident","2018-08-13","United States","LAX","Non-Fatal","Substantial","LAX","Los Angeles International","Los Angeles","CA","33.94253611","-118.40807439999999"
486,"20180811X75122","Accident","2018-08-11","United States","HLN","Unavailable",NULL,"HLN","Helena Regional","Helena","MT","46.60681806","-111.9827503"
